product_id,product_name,category,price,cost,description,seasonal,active,introduced_date,ingredients
1,Tarte Tropézienne,Tarte,6.5,3,,0,1,2022-04-13,"Brioche dough, pastry cream, orange blossom water, pearl sugar"
2,Tarte Bourdaloue,Tarte,7,2,,1,1,2023-01-13,"Sweet pastry crust, almond cream, poached pears, almond flakes"
3,Tarte Flambée,Tarte,8.5,2,,1,1,2023-02-10,"Thin dough, crème fraîche, onions, bacon lardons"
4,Tarte Normande,Tarte,6.5,2,,0,1,2024-05-09,"Sweet pastry crust, apples, Calvados custard, almonds"
5,Tarte au Citron Vert et Basilic,Tarte,7.5,2,,0,1,2024-01-18,"Tart shell, lime curd, fresh basil, meringue kisses"
6,Pain de Campagne,Bread,5,1.5,,1,1,2022-07-05,"Rustic sourdough, whole wheat flour, rye flour, sea salt"
7,Fougasse aux Olives,Bread,4.5,1.2,,0,1,2024-06-02,"Provençal flatbread, Kalamata olives, herbs de Provence, olive oil"
8,Brioche Feuilletée,Bread,3,0.8,,1,1,2022-05-05,"Laminated brioche dough, butter, sugar"
9,Pain aux Noix et Figues,Bread,5.5,2,,1,1,2022-03-15,"Whole wheat flour, walnuts, dried figs, honey"
10,Pain au Chocolat Pistache,Bread,3.5,1,,0,1,2022-02-27,"Croissant dough, dark chocolate, pistachio paste"
11,Paris-Brest Revisité,Pastry,5.5,2,,1,1,2023-08-20,"Choux pastry ring, praline-hazelnut cream, raspberry coulis"
12,Éclair Caramel Salé,Pastry,4.5,1.5,,0,1,2023-04-28,"Choux pastry, salted caramel filling, chocolate glaze, fleur de sel"
13,Religieuse Exotique,Pastry,6,2.5,,0,1,2023-02-06,"Choux buns, passion fruit curd, coconut cream, mango glaze"
14,Mille-Feuille Framboise,Pastry,6.5,2.8,,0,1,2024-04-25,"Puff pastry, raspberry cream, fresh raspberries, powdered sugar"
15,Cannelé Bordelais,Pastry,2.5,0.75,,1,1,2023-05-21,"Rum and vanilla custard, caramelized crust"
16,Croissant Amande,Viennoiserie,3.8,1.2,,0,1,2024-02-01,"Egg Whites, Cream, Flour, frangipane filling, sliced almonds"
17,Pain aux Raisins,Viennoiserie,3.2,0.9,,1,1,2022-09-27,"Sweet bread dough, raisins, pastry cream"
18,Chausson aux Pommes,Viennoiserie,3.5,1,,1,1,2024-01-12,"Puff pastry, apple compote, cinnamon, sugar"
19,Kouign-Amann,Viennoiserie,4,1.3,,1,1,2024-02-02,"Laminated dough, butter, sugar (caramelized)"
20,Pain Suisse,Viennoiserie,3.5,1,,1,1,2022-06-08,"Brioche dough, pastry cream, chocolate chips"
21,Macaron Pistache,Pastry,3.51,1.43,,0,1,2023-06-10,"Almond Flour, Raisins, Seeds"
22,Financiers Pistache,Pastry,2,0.6,,0,1,2022-08-31,"Almond flour cakes, browned butter, pistachios"
23,Madeleines Citron,Pastry,1.5,0.4,,0,1,2023-08-18,Lemon-infused madeleine cakes
24,Croissant,Bread,6.17,4.71,,0,1,2021-07-11,"Egg Whites, Cream, Lemons, Flour"
26,Pain au Chocolat,Tarte,4.32,0.51,,1,1,2021-12-11,"Grains, Raisins, Cream, Seeds, Salt, Egg Whites"
